date	location	cases
2022-02-18	Australia	0.0
2022-02-19	Australia	0.0
2022-02-20	Australia	160429.0
2022-02-21	Australia	0.0
2022-02-22	Australia	0.0
2022-02-23	Australia	0.0
2022-02-24	Australia	0.0
2022-02-25	Australia	0.0
2022-02-26	Australia	0.0
2022-02-27	Australia	160402.0
2022-02-28	Australia	0.0
2022-03-01	Australia	0.0
2022-03-02	Australia	0.0
2022-03-03	Australia	0.0
2022-03-04	Australia	0.0
2022-03-05	Australia	0.0
2022-03-06	Australia	195717.0
2022-03-07	Australia	0.0
2022-03-08	Australia	0.0
2022-03-09	Australia	0.0
2022-03-10	Australia	0.0
2022-03-11	Australia	0.0
2022-03-12	Australia	0.0
2022-03-13	Australia	241848.0
2022-03-14	Australia	0.0
2022-03-15	Australia	0.0
2022-03-16	Australia	0.0
2022-03-17	Australia	0.0
2022-03-18	Australia	0.0
2022-03-19	Australia	0.0
2022-03-20	Australia	327240.0
2022-03-21	Australia	0.0
2022-03-22	Australia	0.0
2022-03-23	Australia	0.0
2022-03-24	Australia	0.0
2022-03-25	Australia	0.0
2022-03-26	Australia	0.0
2022-03-27	Australia	385762.0
2022-03-28	Australia	0.0
2022-03-29	Australia	0.0
2022-03-30	Australia	0.0
2022-03-31	Australia	0.0
2022-04-01	Australia	0.0
2022-04-02	Australia	0.0
2022-04-03	Australia	395982.0
2022-04-04	Australia	0.0
2022-04-05	Australia	0.0
2022-04-06	Australia	0.0
2022-04-07	Australia	0.0
2022-04-08	Australia	0.0
2022-04-09	Australia	0.0
2022-04-10	Australia	359765.0
2022-04-11	Australia	0.0
2022-04-12	Australia	0.0
2022-04-13	Australia	0.0
2022-04-14	Australia	0.0
2022-04-15	Australia	0.0
2022-04-16	Australia	0.0
2022-04-17	Australia	306184.0
2022-04-18	Australia	0.0
2022-04-19	Australia	0.0
2022-04-20	Australia	0.0
2022-04-21	Australia	0.0
2022-04-22	Australia	0.0
2022-04-23	Australia	0.0
